Article;Sous fam.;ref. four.;Gencod;Frais;Qte cde fou;Qte stock;Cpt ac;Cpt ve M;Cpt ve C;Cpt ve OM;Cpt ve E;Cpt ve CEE;Commentaire;id;sup
SOCLE TABL.2P + T ECLIPS FB 16 A;6077;;1,23456E+12;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
TOILE INOX 316L OUV1.180 FIL0.220MM;6021;0-3TMUPX04229;1,23456E+12;25,000;;;62410000;70801000;70891200;70891100;70891100;70891200;;;
TUBE PVC SOUPLE 8X12 LE METRE;6021;;1234560052646;;;;62410000;70801000;70891200;70891100;70891100;70891200;;;
NEUTRE N-P1E NEUTRE N4 POLAI;6077;;1234560039876;;;;62410000;70801000;70891200;70891100;70891100;70891200;;;
"CARTOUCHE FILTRANTE 20"" 1µM THERMOSOUDEE PP";6021;00073096;;1,250;;;62410000;70801000;70891200;70891100;70891100;70891200;;;
KIT DE FIXATION POUR CARTERS STANDARD ET 3G 150578;60164;00083005;;1,250;;;62410000;70801000;70891200;70891100;70891100;70891200;EQUERRE+VIS;;
SOUPAPE 562 PVC D40 DN32;6018;0010161562005;1234560031351;;;;62410000;70801000;70891200;70891100;70891100;70891200;;;
CARTOUCHE FILTRANTE FIBRE DE VERRE 0,2 µ DOE EPDM;6021;00340131;;1,250;;;62410000;70801000;70891200;70891100;70891100;70891200;;;
THERMOSTAT ETRON T 230 V;6077;00437461;1234560009220;;;44,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
THERMOSTAT NUMERIQUE ETRON T 230 V;6077;00441853;1234560072507;;;4,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
SONDE  A RESISTANCE A VISSER  GAINE 50 MM;6077;00459727;;1,070;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
REGULATEUR COMPACT DTRON 316;6077;00475826;1234560040742;;;2,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
SONDE PT100 + 6000MM DE CABLE;6077;;1234560032198;0,780;;;60101100;70102000;70192200;70192100;70192100;70192200;Tarif suivant l'offre n°AD/S/14/91542 du 22/04/14;;
REGULATEUR DE T 2 CONTACTS + SONDE;6077;;1234560056118;13,000;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
REGULATEUR DTRON LC100;6077;00610214;1234560052202;;;2,00;60120300;70102000;70192200;70192100;70192100;70192200;;;
ARMOIRE EN TOLE 1500;60181;010021043;1234560016273;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
FRAIS PORT FOURNISSEUR;0101;;;;2,00;60,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
PORT USINE;0101;;;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
PART. PORT ET EMBALLAGE LIVRAISON METROPOLE;0101;;;;;-238,00;60101100;70102000;70192200;70192100;70192100;70192200;dfgdfgdfgdfgdfs;;
CONTACTEUR DILEM 10 G 24VDC;6077;010213;1234560029945;;;12,00;60910000;70910000;70912000;70911000;70911000;70912000;;;
CONTRE REMBOURSEMENT;0101;;1234560030132;;;;60910000;70910000;70912000;70911000;70911000;70912000;;;
CONTACT AUXILIAIRE MODULE 4 POLES;6077;10304;1234560007769;;;35,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
INTERRUPTEUR SECTIONNEUR P3-63 EA/SVB/N;6077;10398;1234560055586;;;1,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
FRAIS DE TRAITEMENT DE COMMANDE;0101;;;;;-14,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
FRANCO DE PORT ET EMBALLAGE METROPOLE;0101;;;;;-217,00;60260000;70102000;70192200;70192100;70192100;70192200;/!\;;
ESCOMPTE PAIEMENT COMPTANT;0101;;;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
IMPORT/EXPORT DE MARCHANDISE HORS UE;0101;;1234560057252;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
SPRAY PTFE BONNAFLON;60164;;;2,920;;;60260000;70102000;70192200;70192100;70192100;70192200;;;
REVETEMENT DE CYLINDRE TEFLON 1/4 L2430MM;6021;0114340308;1234560039302;5,750;;;60101100;70102000;70192200;70192100;70192100;70192200;TEFLON FED DN 1;;
BULLE 10 ECO 100X150M;0203;115948;1234560033829;;;19,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
TUBE TRANSPARENT DIAM90 ACRYG;6021;;;3,800;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
ARMOIRE COMPACTE INOX 1200X2000X400;60181;;1234560052288;110,000;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
PATTES DE FIXATION MURALE INOX 316L 4PCS;60181;013702271;1234560049837;1,000;;;60260000;70102000;70192200;70192100;70192100;70192200;EN ACIER INOX AISI 316L POUR EKO;;
VIS TETE MOLETEE 8X10;6021;;1234560004485;;;889,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
REDUCTION PVC 4 '' - 2''1/2 PR BOUTEILLE;6021;;;4,000;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
"REDUCTION 4""-2"" 1/2";6021;0201103926;;9,000;;;60260000;70102000;70192200;70192100;70192100;70192200;;;
QUARTZ WINDOWS;6097;;1234560063840;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
SERVO MOTEURCRGY10 24VCA 45SEC;6025;;;;;;60101100;70102000;70192200;70192100;70192100;70192200;02/2000 PROTOTYPE UV;;
CABLE POUR CAPTEUR UV LE M;6077;024-00043-002;1234560006557;;;;60260000;70102000;70192200;70192100;70192100;70192200;VENDU PAR BOBINE DE 150M A 225.00€;;
PURGEUR MV/D10R;6021;;1234560039999;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
POMPE EURO INOX 30/30 MONO;6021;030080;1234560047406;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
INTERRUPTEUR SECTIONNEUR P3-63 EA/SVB/N;6077;31607;1234560055234;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
POMPE  K 30/100 TRI;6021;033225;1234560045440;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
K 28/500 T - 033315 POMPE CENTRIFUGE MONOCELLULAIRE;6021;033315;1234560043897;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
PEIGNE POUR BLOC JONCTION A VIS POUR 10 BLOCS;6077;LEG037501;1234560045556;;;80,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
PEIGNE POUR BLOC JONCTION A VIS POUR 2 BLOCS;6077;LEG037502;1234560045549;;;36,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
"RACCORD M 1"" BSP  VANNE 7700";6021;;;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
REACTEUR UV MINI 0.1 M3/H;60158;;1234560000142;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
REACTEUR UV MINI 0.4 L/H;60163;;1234560000159;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
